,Current_role,Gender_Man,Gender_Woman,Years_Programming_1-2 years,Years_Programming_10-20 years,Years_Programming_20+ years,Years_Programming_3-5 years,Years_Programming_5-10 years,Years_Programming_< 1 years,Years_Programming_I have never written code,Education_Level_Bachelor’s degree,Education_Level_Doctoral degree,Education_Level_Master’s degree,Education_Level_No formal education past high school,Education_Level_Professional degree,Education_Level_Some college/university study without earning a bachelor’s degree,Age_18-29,Age_30-44,Age_45-59,Age_55-59,Age_60+,Notebook_Kaggle,Notebook_Colab,Notebook_Azure,Notebook_Paperspace/Gradient,Notebook_Binder/JupyterHub,Notebook_CodeOcean,Notebook_IBMWatsonStudio,Notebook_AmazonSagemakerStudio,Notebook_AmazonEMR,Notebook_GooglePlatform,Notebook_GoogleDatalab,Notebook_Databricks,NLP_methods_WordEmbeddings/Vectors,NLP_methods_Encoder/DecorderModels,NLP_methods_ContextualizeEembeddings,NLP_methods_TransformerLanguageModels,Dataviz_Matplotlib,Dataviz_Seaborn,Dataviz_Plotly,Dataviz_Ggplot,Dataviz_Shiny,Dataviz_D3js,Dataviz_Altair,Dataviz_Bokeh,Dataviz_Geoplotlib,Dataviz_Leaflet/Folium,ML_algo_Linear/LogisticReg,ML_algo_DecisionTrees/RandomForests,ML_algo_GradientBoosting,ML_algo_BayesianApproaches,ML_algo_EvolutionaryApproaches,ML_algo_DenseNeural,ML_algo_ConvolutionalNeural,ML_algo_GenerativeAdversarial,ML_algo_RecurrentNeural,ML_algo_Transformer,Computervison_methods_GeneralPurposeTtools,Computervison_methods_ImageSegmentation,Computervison_methods_ObjectDetection,Computervison_methods_ImageClassificationNetworks,Computervison_methods_GenerativeNetworks,Language_Python,Language_R,Language_SQL,Language_C,Language_C++,Language_Java,Language_Javascript,Language_Julia,Language_Swift,Language_Bash,Language_MATLAB,Years
2,Data Engineer,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2020
4,Data Scientist,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2020
6,Data Analyst,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2020
9,Data Scientist,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2020
14,Data Engineer,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2020
22,Data Scientist,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2020
24,Data Analyst,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2020
30,Machine Learning Engineer,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020
31,Data Analyst,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,2020
33,Machine Learning Engineer,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2020
